ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Ventral_Attention	BSCMR037	BSCMR107	0.473391	v1001	A	A	A_A	horror
Limbic	BSCMR037	BSCMR107	0.253981	v1001	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR107	0.268153	v1001	A	A	A_A	horror
Default	BSCMR037	BSCMR107	0.103415	v1001	A	A	A_A	horror
Visual	BSCMR037	BSCMR107	0.663246	v1002	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR107	0.0951878	v1002	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR107	-0.329703	v1002	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR107	0.168936	v1002	A	A	A_A	horror
Limbic	BSCMR037	BSCMR107	-0.167162	v1002	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR107	-0.0706818	v1002	A	A	A_A	horror
Default	BSCMR037	BSCMR107	0.302036	v1002	A	A	A_A	horror
Visual	BSCMR037	BSCMR107	0.291695	v1006	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR107	0.251312	v1006	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR107	0.131985	v1006	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR107	-0.296224	v1006	A	A	A_A	horror
Limbic	BSCMR037	BSCMR107	-0.0999421	v1006	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR107	0.0969335	v1006	A	A	A_A	horror
Default	BSCMR037	BSCMR107	-0.128175	v1006	A	A	A_A	horror
Visual	BSCMR037	BSCMR107	0.473507	v1007	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR107	0.333188	v1007	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR107	0.120172	v1007	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR107	0.129452	v1007	A	A	A_A	horror
Limbic	BSCMR037	BSCMR107	0.272295	v1007	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR107	-0.265751	v1007	A	A	A_A	horror
Default	BSCMR037	BSCMR107	0.329446	v1007	A	A	A_A	horror
Visual	BSCMR037	BSCMR107	0.158149	v2000	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR107	0.432298	v2000	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR107	0.478953	v2000	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR107	0.695969	v2000	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR107	0.240028	v2000	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR107	0.518554	v2000	A	A	A_A	erotic
Default	BSCMR037	BSCMR107	0.253888	v2000	A	A	A_A	erotic
Visual	BSCMR037	BSCMR107	0.501634	v2002	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR107	0.128117	v2002	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR107	0.434607	v2002	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR107	-0.191744	v2002	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR107	0.459459	v2002	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR107	0.66963	v2002	A	A	A_A	erotic
Default	BSCMR037	BSCMR107	0.251047	v2002	A	A	A_A	erotic
Visual	BSCMR037	BSCMR107	-0.309116	v2003	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR107	-0.621537	v2003	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR107	-0.198927	v2003	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR107	-0.22782	v2003	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR107	-0.0257212	v2003	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR107	0.11175	v2003	A	A	A_A	erotic
Default	BSCMR037	BSCMR107	0.616456	v2003	A	A	A_A	erotic
Visual	BSCMR037	BSCMR107	-0.0562778	v2009	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR107	0.538072	v2009	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR107	0.521047	v2009	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR107	0.411042	v2009	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR107	0.0476302	v2009	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR107	0.0113896	v2009	A	A	A_A	erotic
Default	BSCMR037	BSCMR107	-0.101089	v2009	A	A	A_A	erotic
Visual	BSCMR037	BSCMR107	0.0576917	v5000	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR107	0.234099	v5000	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR107	0.111323	v5000	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR107	0.425528	v5000	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR107	-0.163864	v5000	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR107	-0.0571919	v5000	A	A	A_A	neutral
Default	BSCMR037	BSCMR107	0.061164	v5000	A	A	A_A	neutral
Visual	BSCMR037	BSCMR107	-0.201008	v5001	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR107	0.532297	v5001	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR107	0.598722	v5001	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR107	0.118802	v5001	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR107	0.594039	v5001	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR107	0.255293	v5001	A	A	A_A	neutral
Default	BSCMR037	BSCMR107	0.521862	v5001	A	A	A_A	neutral
Visual	BSCMR037	BSCMR107	-0.118697	v5002	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR107	0.30353	v5002	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR107	-0.131265	v5002	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR107	0.259744	v5002	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR107	0.468543	v5002	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR107	-0.0530281	v5002	A	A	A_A	neutral
Default	BSCMR037	BSCMR107	-0.0397902	v5002	A	A	A_A	neutral
Visual	BSCMR037	BSCMR107	-0.102985	v5008	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR107	0.00224708	v5008	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR107	0.3952	v5008	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR107	-0.166386	v5008	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR107	0.219924	v5008	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR107	-0.264376	v5008	A	A	A_A	neutral
Default	BSCMR037	BSCMR107	-0.0930024	v5008	A	A	A_A	neutral
Visual	BSCMR037	BSCMR109	-0.131687	v1001	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR109	0.255348	v1001	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR109	0.418335	v1001	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR109	0.328036	v1001	A	A	A_A	horror
Limbic	BSCMR037	BSCMR109	-0.187036	v1001	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR109	0.441504	v1001	A	A	A_A	horror
Default	BSCMR037	BSCMR109	-0.588183	v1001	A	A	A_A	horror
Visual	BSCMR037	BSCMR109	0.304301	v1002	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR109	0.365633	v1002	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR109	0.0550603	v1002	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR109	-0.0585738	v1002	A	A	A_A	horror
Limbic	BSCMR037	BSCMR109	-0.192026	v1002	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR109	-0.236801	v1002	A	A	A_A	horror
Default	BSCMR037	BSCMR109	-0.0731604	v1002	A	A	A_A	horror
Visual	BSCMR037	BSCMR109	-0.529294	v1006	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR109	-0.486086	v1006	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR109	0.236779	v1006	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR109	0.0160075	v1006	A	A	A_A	horror
Limbic	BSCMR037	BSCMR109	0.303313	v1006	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR109	0.624573	v1006	A	A	A_A	horror
Default	BSCMR037	BSCMR109	0.783885	v1006	A	A	A_A	horror
Visual	BSCMR037	BSCMR109	0.118211	v1007	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR109	-0.448206	v1007	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR109	0.0358481	v1007	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR109	0.116106	v1007	A	A	A_A	horror
Limbic	BSCMR037	BSCMR109	0.212196	v1007	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR109	0.16271	v1007	A	A	A_A	horror
Default	BSCMR037	BSCMR109	0.327934	v1007	A	A	A_A	horror
Visual	BSCMR037	BSCMR109	-0.132387	v2000	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR109	-0.154124	v2000	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR109	-0.192232	v2000	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR109	-0.0395657	v2000	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR109	-0.121336	v2000	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR109	-0.259	v2000	A	A	A_A	erotic
Default	BSCMR037	BSCMR109	0.0968897	v2000	A	A	A_A	erotic
Visual	BSCMR037	BSCMR109	-0.281157	v2002	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR109	0.108097	v2002	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR109	-0.1415	v2002	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR109	0.132021	v2002	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR109	-0.249936	v2002	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR109	-0.177232	v2002	A	A	A_A	erotic
Default	BSCMR037	BSCMR109	-0.0479033	v2002	A	A	A_A	erotic
Visual	BSCMR037	BSCMR109	-0.0797165	v2003	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR109	-0.495423	v2003	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR109	-0.18714	v2003	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR109	-0.302618	v2003	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR109	0.351447	v2003	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR109	0.415392	v2003	A	A	A_A	erotic
Default	BSCMR037	BSCMR109	-0.568654	v2003	A	A	A_A	erotic
Visual	BSCMR037	BSCMR109	-0.275105	v2009	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR109	-0.0106836	v2009	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR109	0.0250529	v2009	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR109	-0.100339	v2009	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR109	0.471041	v2009	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR109	-0.212685	v2009	A	A	A_A	erotic
Default	BSCMR037	BSCMR109	-0.0889185	v2009	A	A	A_A	erotic
Visual	BSCMR037	BSCMR109	0.06277	v5000	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR109	-0.216383	v5000	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR109	-0.205555	v5000	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR109	-0.211139	v5000	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR109	-0.349428	v5000	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR109	-0.0255029	v5000	A	A	A_A	neutral
Default	BSCMR037	BSCMR109	0.335894	v5000	A	A	A_A	neutral
Visual	BSCMR037	BSCMR109	-0.361512	v5001	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR109	-0.0894243	v5001	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR109	0.198534	v5001	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR109	0.267507	v5001	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR109	-0.259236	v5001	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR109	-0.314217	v5001	A	A	A_A	neutral
Default	BSCMR037	BSCMR109	-0.0971772	v5001	A	A	A_A	neutral
Visual	BSCMR037	BSCMR109	-0.350397	v5002	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR109	-0.12156	v5002	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR109	-0.00332687	v5002	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR109	-0.156105	v5002	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR109	-0.434831	v5002	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR109	-0.618201	v5002	A	A	A_A	neutral
Default	BSCMR037	BSCMR109	-0.342984	v5002	A	A	A_A	neutral
Visual	BSCMR037	BSCMR109	0.507033	v5008	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR109	-0.138165	v5008	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR109	0.50243	v5008	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR109	-0.429192	v5008	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR109	-0.369838	v5008	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR109	-0.135044	v5008	A	A	A_A	neutral
Default	BSCMR037	BSCMR109	0.0919181	v5008	A	A	A_A	neutral
Visual	BSCMR037	BSCMR110	0.340952	v1001	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR110	0.785416	v1001	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR110	0.252551	v1001	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR110	0.525406	v1001	A	A	A_A	horror
Limbic	BSCMR037	BSCMR110	-0.156046	v1001	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR110	0.518626	v1001	A	A	A_A	horror
Default	BSCMR037	BSCMR110	-0.261733	v1001	A	A	A_A	horror
Visual	BSCMR037	BSCMR110	0.234427	v1002	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR110	0.271062	v1002	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR110	0.0437041	v1002	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR110	-0.142324	v1002	A	A	A_A	horror
Limbic	BSCMR037	BSCMR110	0.207269	v1002	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR110	-0.0319516	v1002	A	A	A_A	horror
Default	BSCMR037	BSCMR110	0.255409	v1002	A	A	A_A	horror
Visual	BSCMR037	BSCMR110	0.303252	v1006	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR110	-0.102551	v1006	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR110	0.103086	v1006	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR110	0.429812	v1006	A	A	A_A	horror
Limbic	BSCMR037	BSCMR110	0.435348	v1006	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR110	0.155341	v1006	A	A	A_A	horror
Default	BSCMR037	BSCMR110	-0.620568	v1006	A	A	A_A	horror
Visual	BSCMR037	BSCMR110	0.369612	v1007	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR110	0.116339	v1007	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR110	0.859217	v1007	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR110	0.441397	v1007	A	A	A_A	horror
Limbic	BSCMR037	BSCMR110	-0.15983	v1007	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR110	0.411214	v1007	A	A	A_A	horror
Default	BSCMR037	BSCMR110	0.390457	v1007	A	A	A_A	horror
Visual	BSCMR037	BSCMR110	0.0194502	v2000	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR110	-0.312721	v2000	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR110	-0.515818	v2000	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR110	0.0186208	v2000	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR110	-0.258136	v2000	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR110	-0.293005	v2000	A	A	A_A	erotic
Default	BSCMR037	BSCMR110	0.0414471	v2000	A	A	A_A	erotic
Visual	BSCMR037	BSCMR110	0.169506	v2002	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR110	-0.0818806	v2002	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR110	-0.183285	v2002	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR110	-0.310826	v2002	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR110	0.114464	v2002	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR110	0.272957	v2002	A	A	A_A	erotic
Default	BSCMR037	BSCMR110	-0.0196537	v2002	A	A	A_A	erotic
Visual	BSCMR037	BSCMR110	0.401599	v2003	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR110	-0.210813	v2003	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR110	0.547715	v2003	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR110	-0.162305	v2003	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR110	0.0807752	v2003	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR110	0.42818	v2003	A	A	A_A	erotic
Default	BSCMR037	BSCMR110	0.331003	v2003	A	A	A_A	erotic
Visual	BSCMR037	BSCMR110	0.195756	v2009	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR110	0.419799	v2009	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR110	-0.133657	v2009	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR110	-0.406291	v2009	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR110	-0.11475	v2009	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR110	-0.448103	v2009	A	A	A_A	erotic
Default	BSCMR037	BSCMR110	0.306969	v2009	A	A	A_A	erotic
Visual	BSCMR037	BSCMR110	-0.243316	v5000	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR110	-0.112737	v5000	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR110	-0.0601762	v5000	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR110	0.196511	v5000	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR110	-0.414668	v5000	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR110	-0.0408987	v5000	A	A	A_A	neutral
Default	BSCMR037	BSCMR110	-0.282098	v5000	A	A	A_A	neutral
Visual	BSCMR037	BSCMR110	0.157967	v5001	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR110	0.213202	v5001	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR110	0.0883993	v5001	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR110	-0.135058	v5001	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR110	0.574989	v5001	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR110	0.063647	v5001	A	A	A_A	neutral
Default	BSCMR037	BSCMR110	0.135691	v5001	A	A	A_A	neutral
Visual	BSCMR037	BSCMR110	-0.0712782	v5002	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR110	0.0396302	v5002	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR110	-0.482843	v5002	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR110	-0.207963	v5002	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR110	-0.0502153	v5002	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR110	-0.254373	v5002	A	A	A_A	neutral
Default	BSCMR037	BSCMR110	-0.484641	v5002	A	A	A_A	neutral
Visual	BSCMR037	BSCMR110	0.610412	v5008	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR110	-0.569579	v5008	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR110	-0.00479802	v5008	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR110	-0.348272	v5008	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR110	-0.0293553	v5008	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR110	-0.387185	v5008	A	A	A_A	neutral
Default	BSCMR037	BSCMR110	-0.257287	v5008	A	A	A_A	neutral
Visual	BSCMR037	BSCMR111	-0.397627	v1001	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR111	-0.555853	v1001	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR111	0.19049	v1001	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR111	-0.175312	v1001	A	A	A_A	horror
Limbic	BSCMR037	BSCMR111	-0.110144	v1001	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR111	0.449339	v1001	A	A	A_A	horror
Default	BSCMR037	BSCMR111	-0.590937	v1001	A	A	A_A	horror
Visual	BSCMR037	BSCMR111	-0.342128	v1002	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR111	-0.0332587	v1002	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR111	-0.146447	v1002	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR111	-0.228727	v1002	A	A	A_A	horror
Limbic	BSCMR037	BSCMR111	-0.460687	v1002	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR111	0.102678	v1002	A	A	A_A	horror
Default	BSCMR037	BSCMR111	0.056168	v1002	A	A	A_A	horror
Visual	BSCMR037	BSCMR111	0.131129	v1006	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR111	-0.337312	v1006	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR111	-0.0107821	v1006	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR111	-0.263886	v1006	A	A	A_A	horror
Limbic	BSCMR037	BSCMR111	0.227782	v1006	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR111	-0.30241	v1006	A	A	A_A	horror
Default	BSCMR037	BSCMR111	0.158284	v1006	A	A	A_A	horror
Visual	BSCMR037	BSCMR111	-0.0663008	v1007	A	A	A_A	horror
Somatomotor	BSCMR037	BSCMR111	-0.382009	v1007	A	A	A_A	horror
Dorsal_Attention	BSCMR037	BSCMR111	0.0897787	v1007	A	A	A_A	horror
Ventral_Attention	BSCMR037	BSCMR111	-0.264079	v1007	A	A	A_A	horror
Limbic	BSCMR037	BSCMR111	-0.81963	v1007	A	A	A_A	horror
Frontoparietal	BSCMR037	BSCMR111	0.0203377	v1007	A	A	A_A	horror
Default	BSCMR037	BSCMR111	0.3354	v1007	A	A	A_A	horror
Visual	BSCMR037	BSCMR111	0.188134	v2000	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR111	-0.0616691	v2000	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR111	0.181941	v2000	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR111	0.238397	v2000	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR111	-0.239306	v2000	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR111	-0.428868	v2000	A	A	A_A	erotic
Default	BSCMR037	BSCMR111	0.103171	v2000	A	A	A_A	erotic
Visual	BSCMR037	BSCMR111	0.256838	v2002	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR111	-0.59164	v2002	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR111	0.0678929	v2002	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR111	0.255016	v2002	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR111	0.181965	v2002	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR111	0.143198	v2002	A	A	A_A	erotic
Default	BSCMR037	BSCMR111	-0.30861	v2002	A	A	A_A	erotic
Visual	BSCMR037	BSCMR111	0.0462639	v2003	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR111	0.105969	v2003	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR111	-0.019722	v2003	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR111	-0.225993	v2003	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR111	-0.402662	v2003	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR111	-0.0765892	v2003	A	A	A_A	erotic
Default	BSCMR037	BSCMR111	0.248265	v2003	A	A	A_A	erotic
Visual	BSCMR037	BSCMR111	-0.0633838	v2009	A	A	A_A	erotic
Somatomotor	BSCMR037	BSCMR111	0.66956	v2009	A	A	A_A	erotic
Dorsal_Attention	BSCMR037	BSCMR111	0.328373	v2009	A	A	A_A	erotic
Ventral_Attention	BSCMR037	BSCMR111	0.49549	v2009	A	A	A_A	erotic
Limbic	BSCMR037	BSCMR111	0.618528	v2009	A	A	A_A	erotic
Frontoparietal	BSCMR037	BSCMR111	0.213151	v2009	A	A	A_A	erotic
Default	BSCMR037	BSCMR111	-0.34064	v2009	A	A	A_A	erotic
Visual	BSCMR037	BSCMR111	-0.145742	v5000	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR111	-0.034818	v5000	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR111	-0.339748	v5000	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR111	-0.639967	v5000	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR111	-0.0969654	v5000	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR111	-0.229566	v5000	A	A	A_A	neutral
Default	BSCMR037	BSCMR111	-0.356408	v5000	A	A	A_A	neutral
Visual	BSCMR037	BSCMR111	-0.224744	v5001	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR111	-0.491125	v5001	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR111	-0.492586	v5001	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR111	-0.118069	v5001	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR111	-0.48085	v5001	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR111	-0.517676	v5001	A	A	A_A	neutral
Default	BSCMR037	BSCMR111	-0.317802	v5001	A	A	A_A	neutral
Visual	BSCMR037	BSCMR111	0.107485	v5002	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR111	0.140488	v5002	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR111	0.219631	v5002	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR111	-0.134759	v5002	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR111	-0.151541	v5002	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR111	0.434663	v5002	A	A	A_A	neutral
Default	BSCMR037	BSCMR111	-0.0385207	v5002	A	A	A_A	neutral
Visual	BSCMR037	BSCMR111	0.328902	v5008	A	A	A_A	neutral
Somatomotor	BSCMR037	BSCMR111	0.0965988	v5008	A	A	A_A	neutral
Dorsal_Attention	BSCMR037	BSCMR111	-0.241841	v5008	A	A	A_A	neutral
Ventral_Attention	BSCMR037	BSCMR111	-0.382653	v5008	A	A	A_A	neutral
Limbic	BSCMR037	BSCMR111	-0.0438058	v5008	A	A	A_A	neutral
Frontoparietal	BSCMR037	BSCMR111	-0.15819	v5008	A	A	A_A	neutral
