ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Dorsal_Attention	BSCMR008	BSCMR015	-0.335659	v5001	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	-0.605008	v5001	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	0.0962179	v5001	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR015	-0.327165	v5001	B	B	B_B	neutral
Default	BSCMR008	BSCMR015	-0.391694	v5001	B	B	B_B	neutral
Visual	BSCMR008	BSCMR015	-0.6952	v5002	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR015	0.627981	v5002	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR015	-0.395711	v5002	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	0.368133	v5002	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	-0.0847625	v5002	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR015	-0.356501	v5002	B	B	B_B	neutral
Default	BSCMR008	BSCMR015	-0.217834	v5002	B	B	B_B	neutral
Visual	BSCMR008	BSCMR015	0.297233	v5008	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR015	0.383001	v5008	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR015	0.034031	v5008	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	0.347805	v5008	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	0.177569	v5008	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR015	-0.440923	v5008	B	B	B_B	neutral
Default	BSCMR008	BSCMR015	0.149689	v5008	B	B	B_B	neutral
Visual	BSCMR008	BSCMR017	-0.621945	v1001	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR017	0.206174	v1001	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR017	0.0573606	v1001	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR017	0.0584152	v1001	B	B	B_B	horror
Limbic	BSCMR008	BSCMR017	-0.24284	v1001	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR017	-0.0313355	v1001	B	B	B_B	horror
Default	BSCMR008	BSCMR017	-0.120665	v1001	B	B	B_B	horror
Visual	BSCMR008	BSCMR017	0.528467	v1002	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR017	0.202634	v1002	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR017	0.429743	v1002	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR017	-0.0122763	v1002	B	B	B_B	horror
Limbic	BSCMR008	BSCMR017	0.0370613	v1002	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR017	0.292013	v1002	B	B	B_B	horror
Default	BSCMR008	BSCMR017	0.393139	v1002	B	B	B_B	horror
Visual	BSCMR008	BSCMR017	0.215745	v1006	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR017	0.522972	v1006	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR017	0.14647	v1006	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR017	-0.0978604	v1006	B	B	B_B	horror
Limbic	BSCMR008	BSCMR017	0.178888	v1006	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR017	-0.283791	v1006	B	B	B_B	horror
Default	BSCMR008	BSCMR017	0.191577	v1006	B	B	B_B	horror
Visual	BSCMR008	BSCMR017	0.405527	v1007	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR017	-0.110891	v1007	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR017	0.113603	v1007	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR017	0.434016	v1007	B	B	B_B	horror
